"","subcatchments_recon_aa_20211027_Id","mean_cn"
"1",1,57.331091729407
"2",2,52.9491712544229
"3",4,53.1724160705891
"4",5,61.6493404977249
"5",6,64.8626508360761
"6",7,70.985915027178
"7",9,40.8486636584022
"8",10,62.6885991751978
"9",11,65.2329142315876
"10",12,63.840529177934
"11",14,63.8948846294712
"12",18,64.8888406880843
"13",19,57.8016190681534
"14",20,79.0000435527265
"15",21,61.2186570103606
"16",27,66.4894000773197
"17",28,63.5057416606793
"18",29,72.0404134459242
"19",30,61.5091719905054
"20",31,64.5132693634006
"21",32,57.9310362977751
"22",33,62.1584761413001
"23",37,57.7631637870295
"24",38,57.7140439640201
"25",39,59.0690866862964
"26",40,62
"27",41,57.8457995780666
"28",42,50.7177603469715
"29",44,64.4116155798183
"30",45,62.8844198700646
"31",50,34.4542936702432
"32",55,48.0754278048377
"33",62,41.1985182612508
"34",97,47.3192107651501
"35",122,61.2148642282297
"36",127,33.7015275717866
"37",136,61.200054317325
"38",139,52.5973351043936
"39",232,35.7685101782426
"40",242,45.0531384586018
