"","subcatchments_recon_aa_20211027_Id","mean_slope"
"1",1,39.1670099047959
"2",2,40.0344412361156
"3",4,42.2616331306456
"4",5,35.1777605227405
"5",6,26.652752574513
"6",7,26.4315023849673
"7",9,11.083442239749
"8",10,24.809486317222
"9",11,24.5509360356703
"10",12,24.3072880750997
"11",14,25.9812621124079
"12",18,8.41073221368914
"13",19,20.9710244264716
"14",20,5.8656714192233
"15",21,24.872001838354
"16",27,28.1844449905461
"17",28,6.63521560548422
"18",29,6.21273445259773
"19",30,7.34325229846328
"20",31,10.2098424316075
"21",32,19.8429002787868
"22",33,26.9865001756118
"23",37,1.05091693721644
"24",38,1.65637426539929
"25",39,12.9796035591562
"26",40,29.3410987068851
"27",41,17.7920842869323
"28",42,10.0476915939351
"29",44,21.8324603152604
"30",45,7.95287209511783
"31",50,0.0427533977937201
"32",55,4.99367711638691
"33",62,13.0212659482284
"34",97,12.0769999117209
"35",122,12.0217135120691
"36",127,2.50423755251848
"37",136,14.6381531242522
"38",139,2.37211320198186
"39",232,0
"40",242,2.11832926542032
