"subcatchment","curve_number","Blank","DryTime"
1,57.331091729407,0.5,7
2,52.9491712544229,0.5,7
4,53.1724160705891,0.5,7
5,61.6493404977249,0.5,7
6,64.8626508360761,0.5,7
7,70.985915027178,0.5,7
9,40.8486636584022,0.5,7
10,62.6885991751978,0.5,7
11,65.2329142315876,0.5,7
12,63.840529177934,0.5,7
14,63.8948846294712,0.5,7
18,64.8888406880843,0.5,7
19,57.8016190681534,0.5,7
20,79.0000435527265,0.5,7
21,61.2186570103606,0.5,7
27,66.4894000773197,0.5,7
28,63.5057416606793,0.5,7
29,72.0404134459242,0.5,7
30,61.5091719905054,0.5,7
31,64.5132693634006,0.5,7
32,57.9310362977751,0.5,7
33,62.1584761413001,0.5,7
37,57.7631637870295,0.5,7
38,57.7140439640201,0.5,7
39,59.0690866862964,0.5,7
40,62,0.5,7
41,57.8457995780666,0.5,7
42,50.7177603469715,0.5,7
44,64.4116155798183,0.5,7
45,62.8844198700646,0.5,7
50,34.4542936702432,0.5,7
55,48.0754278048377,0.5,7
62,41.1985182612508,0.5,7
97,47.3192107651501,0.5,7
122,61.2148642282297,0.5,7
127,33.7015275717866,0.5,7
136,61.200054317325,0.5,7
139,52.5973351043936,0.5,7
232,35.7685101782426,0.5,7
242,45.0531384586018,0.5,7
