"name","rain_gage","outlet","area","imperv","width","slope","curblen"
1,"R1","J1",24.1973028637311,0,400,39.1670099047959,0
2,"R1","J1",28.027012879202,0,400,40.0344412361156,0
4,"R1","J1",61.3614172160262,0,400,42.2616331306456,0
5,"R1","J1",182.409520648731,0,400,35.1777605227405,0
6,"R1","J1",82.5413825728446,0,400,26.652752574513,0
7,"R1","J1",64.5941854401414,0.651799859902457,400,26.4315023849673,0
9,"R1","J1",1.50388965812503,31.8259591046414,133.013551758955,11.083442239749,0
10,"R1","J1",19.4440882276782,4.70432319421949,400,24.809486317222,0
11,"R1","J1",15.8027045549195,1.9771542144193,400,24.5509360356703,0
12,"R1","J1",20.3299432317561,0.09626337199173,400,24.3072880750997,0
14,"R1","J1",18.625842622466,0.022137958295852,400,25.9812621124079,0
18,"R1","J1",0.254760947519155,0,16.3543820486254,8.41073221368914,0
19,"R1","J1",4.23933829538219,0.209930589077592,9.79004196307044,20.9710244264716,0
20,"R1","J1",0.319184774238803,0,21.2601469256908,5.8656714192233,0
21,"R1","J1",16.0794723768707,0.631095375102589,400,24.872001838354,0
27,"R1","J1",137.881038174784,0.439998296293032,400,28.1844449905461,0
28,"R1","J1",0.885210999779937,27.7591646226435,15.3018680888715,6.63521560548422,0
29,"R1","J1",1.46796364909967,19.8795178504719,55.8926818474101,6.21273445259773,0
30,"R1","J1",1.78042806699978,31.2477505149993,400,7.34325229846328,0
31,"R1","J1",2.63550380038179,24.8152929097212,38.3221166359871,10.2098424316075,0
32,"R1","J1",184.77414242531,13.1025331828872,400,19.8429002787868,0
33,"R1","J1",16.8004473949433,1.59348314114219,400,26.9865001756118,0
37,"R1","J1",0.929276534574947,54.0173097885779,358.446278212084,1.05091693721644,0
38,"R1","J1",1.91444882488992,43.4195894821889,400,1.65637426539929,0
39,"R1","J1",7.58171968872661,21.8216077098222,400,12.9796035591562,0
40,"R1","J1",12.0443366288676,0,400,29.3410987068851,0
41,"R1","J1",15.6252043027279,20.3590708101125,400,17.7920842869323,0
42,"R1","J1",107.975773318895,25.2329006637686,400,10.0476915939351,0
44,"R1","J1",3.64654610628695,4.04943687729764,400,21.8324603152604,0
45,"R1","J1",0.868133864256937,22.5381810756458,400,7.95287209511783,0
50,"R1","J1",27.9719709670573,29.6564503955441,400,0.0427533977937201,0
55,"R1","J1",13.4387247103982,27.2789051110487,400,4.99367711638691,0
62,"R1","J1",9.3984190187956,9.85765302339748,400,13.0212659482284,0
97,"R1","J1",40.9163544414752,20.1452743361168,400,12.0769999117209,0
122,"R1","J1",9.90851504401255,2.55114935266056,400,12.0217135120691,0
127,"R1","J1",21.9857242346124,13.8057174192157,400,2.50423755251848,0
136,"R1","J1",59.1052339447424,3.82946766660597,400,14.6381531242522,0
139,"R1","J1",3.64501896820504,35.1093767121715,400,2.37211320198186,0
232,"R1","J1",2.68007930614591,26.0133648679391,400,0,0
242,"R1","J1",5.04832378290858,38.0262495489123,400,2.11832926542032,0
